Entreprise,Profil,Experience,Niveau_Etude,Technologie,Salaire
SAP Maroc,Chef de Projet IT,10,Ingénieur,Scrum,25000
KPMG Technology Maroc,Architecte Solutions,10,Ingénieur,SOA,21000
Capgemini Maroc,Data Scientist / IA,10,Master,Python,17000
Dell Technologies Maroc,DevOps Engineer,13,Ingénieur,AWS,19000
Atos Maroc,Business Intelligence,7,Doctorat,Power BI,14000
Microsoft Maroc,Business Intelligence,2,Bac+3,Power BI,10000
IBM Maroc,Chef de Projet IT,1,Bac+3,Kanban,9000
SAP Maroc,Business Intelligence,8,Ingénieur,QlikView,18000
Sopra Steria Maroc,Cloud Engineer,6,Master,Google Cloud,13000
IBM Maroc,Développeur Full Stack,1,Bac+3,.NET Core,11000
IBM Maroc,Cloud Engineer,3,Master,AWS,17000
Huawei Maroc,DevOps Engineer,11,Master,Terraform,14000
HP Maroc,Chef de Projet IT,8,Master,MS Project,12000
PWC Digital Maroc,DevOps Engineer,8,Master,Kubernetes,17000
KPMG Technology Maroc,Business Intelligence,15,Bac+3,Talend,11000
Tata Consultancy Services Maroc,Cloud Engineer,8,Bac+3,OpenStack,8000
Cisco Maroc,Business Intelligence,14,Ingénieur,Oracle BI,16000
Microsoft Maroc,Chef de Projet IT,6,Bac+3,Prince2,12000
Oracle Maroc,Chef de Projet IT,15,Master,PMI,24000
Atos Maroc,Développeur Mobile,10,Ingénieur,Flutter,15000
Atos Maroc,Développeur Mobile,2,Bac+2,Xamarin,4000
Capgemini Maroc,Architecte Solutions,4,Ingénieur,System Design,18000
Deloitte Digital Maroc,Business Intelligence,4,Master,Talend,14000
Lenovo Maroc,Data Scientist / IA,7,Ingénieur,PyTorch,16000
Capgemini Maroc,Data Scientist / IA,5,Master,TensorFlow,17000
Cisco Maroc,Développeur Mobile,2,Ingénieur,Flutter,11000
Deloitte Digital Maroc,Développeur Mobile,3,Ingénieur,Xamarin,15000
Capgemini Maroc,DevOps Engineer,15,Master,Jenkins,18000
Deloitte Digital Maroc,Ingénieur Cybersécurité,5,Bac+3,CISSP,13000
Oracle Maroc,Cloud Engineer,14,Doctorat,Docker,32000
Dell Technologies Maroc,Développeur Full Stack,15,Ingénieur,Node.js,17000
Huawei Maroc,Développeur Full Stack,12,Ingénieur,Node.js,16000
PWC Digital Maroc,Ingénieur Réseau,4,Ingénieur,Juniper,13000
Huawei Maroc,Chef de Projet IT,4,Master,JIRA,10000
EY Digital Maroc,Développeur Full Stack,14,Doctorat,Node.js,26000
HP Maroc,DevOps Engineer,2,Bac+2,Ansible,5000
Deloitte Digital Maroc,Business Intelligence,13,Ingénieur,QlikView,21000
HP Maroc,Data Scientist / IA,6,Ingénieur,Tableau,16000
HP Maroc,Data Scientist / IA,10,Ingénieur,Python,19000
EY Digital Maroc,Data Scientist / IA,0,Ingénieur,Scikit-learn,17000
Accenture Maroc,Ingénieur Cybersécurité,3,Bac+3,SIEM,12000
Accenture Maroc,Data Scientist / IA,10,Bac+3,Tableau,14000
IBM Maroc,Architecte Solutions,8,Doctorat,SOA,27000
Capgemini Maroc,Ingénieur Réseau,7,Doctorat,Fortinet,14000
Capgemini Maroc,Ingénieur Réseau,5,Bac+3,Cisco,8000
Accenture Maroc,Architecte Solutions,8,Doctorat,API,25000
Cisco Maroc,Développeur Mobile,7,Master,Flutter,12000
Sopra Steria Maroc,Ingénieur Cybersécurité,3,Master,Pentest,15000
SAP Maroc,Architecte Solutions,11,Master,Cloud Architecture,22000
SAP Maroc,Développeur Mobile,14,Bac+3,Android Studio,13000
KPMG Technology Maroc,Développeur Full Stack,5,Doctorat,Python Django,21000
Accenture Maroc,Développeur Mobile,3,Ingénieur,Kotlin,15000
Atos Maroc,Architecte Solutions,6,Ingénieur,System Design,16000
IBM Maroc,Ingénieur Réseau,11,Ingénieur,Cisco,20000
HP Maroc,Ingénieur Réseau,8,Ingénieur,SD-WAN,13000
Atos Maroc,Business Intelligence,1,Ingénieur,Power BI,11000
Accenture Maroc,Développeur Mobile,0,Bac+2,Kotlin,5000
EY Digital Maroc,Développeur Mobile,0,Bac+3,Swift,7000
Cisco Maroc,Ingénieur Cybersécurité,1,Bac+3,Security+,9000
Cisco Maroc,Data Scientist / IA,1,Bac+3,Tableau,10000
Atos Maroc,DevOps Engineer,1,Bac+3,Jenkins,8000
PWC Digital Maroc,Architecte Solutions,13,Bac+3,API,15000
Oracle Maroc,DevOps Engineer,3,Ingénieur,Jenkins,21000
HP Maroc,Développeur Full Stack,10,Master,Java Spring,13000
Oracle Maroc,Développeur Mobile,2,Ingénieur,Ionic,17000
EY Digital Maroc,Ingénieur Réseau,0,Ingénieur,SD-WAN,12000
Accenture Maroc,Ingénieur Cybersécurité,6,Ingénieur,Firewall,20000
CGI Maroc,Chef de Projet IT,10,Doctorat,MS Project,17000
Orange Business Services Maroc,Architecte Solutions,8,Master,API,13000
HP Maroc,Business Intelligence,3,Ingénieur,Oracle BI,11000
CGI Maroc,Cloud Engineer,5,Ingénieur,Google Cloud,15000
CGI Maroc,DevOps Engineer,7,Ingénieur,Jenkins,15000
Lenovo Maroc,Business Intelligence,7,Master,SQL Server,9000
Lenovo Maroc,DevOps Engineer,0,Bac+3,Docker,6000
PWC Digital Maroc,Chef de Projet IT,4,Ingénieur,Scrum,15000
Accenture Maroc,Développeur Mobile,1,Bac+3,Xamarin,8000
SAP Maroc,Cloud Engineer,1,Ingénieur,Terraform,20000
KPMG Technology Maroc,Cloud Engineer,2,Bac+3,Google Cloud,10000
Orange Business Services Maroc,Business Intelligence,13,Bac+3,SAP BO,8000
Oracle Maroc,Business Intelligence,1,Bac+3,Oracle BI,10000
KPMG Technology Maroc,Ingénieur Réseau,9,Master,Cisco,12000
Dell Technologies Maroc,Business Intelligence,10,Ingénieur,SQL Server,15000
KPMG Technology Maroc,Développeur Full Stack,5,Master,Python Django,13000
CGI Maroc,Développeur Mobile,3,Ingénieur,Kotlin,13000
KPMG Technology Maroc,Cloud Engineer,0,Master,AWS,14000
Oracle Maroc,Développeur Mobile,7,Doctorat,Flutter,23000
Accenture Maroc,Chef de Projet IT,7,Master,PMI,18000
SAP Maroc,Data Scientist / IA,1,Bac+2,Spark,9000
Capgemini Maroc,Ingénieur Cybersécurité,3,Master,CISSP,14000
PWC Digital Maroc,Data Scientist / IA,6,Ingénieur,TensorFlow,21000
Huawei Maroc,Business Intelligence,0,Bac+2,SQL Server,4000
Accenture Maroc,Business Intelligence,14,Master,Tableau,16000
Deloitte Digital Maroc,Ingénieur Cybersécurité,9,Ingénieur,SIEM,24000
Lenovo Maroc,Cloud Engineer,1,Bac+3,Terraform,7000
HP Maroc,Chef de Projet IT,3,Master,PMI,9000
Accenture Maroc,Cloud Engineer,9,Master,Terraform,19000
SAP Maroc,Business Intelligence,8,Ingénieur,Tableau,21000
Huawei Maroc,Ingénieur Réseau,5,Ingénieur,Cisco,11000
Sopra Steria Maroc,DevOps Engineer,11,Master,Ansible,15000
Accenture Maroc,DevOps Engineer,12,Doctorat,Terraform,22000
CGI Maroc,Data Scientist / IA,10,Ingénieur,PyTorch,19000
Microsoft Maroc,Cloud Engineer,0,Bac+3,AWS,13000
Lenovo Maroc,Business Intelligence,3,Ingénieur,SQL Server,10000
Cisco Maroc,Data Scientist / IA,8,Master,Spark,16000
Lenovo Maroc,Data Scientist / IA,1,Master,Scikit-learn,11000
Cisco Maroc,Ingénieur Cybersécurité,0,Master,CISSP,12000
KPMG Technology Maroc,Business Intelligence,0,Master,Tableau,11000
Microsoft Maroc,DevOps Engineer,10,Ingénieur,GitLab CI/CD,27000
PWC Digital Maroc,Data Scientist / IA,6,Ingénieur,R,19000
Orange Business Services Maroc,DevOps Engineer,15,Doctorat,Kubernetes,16000
Huawei Maroc,Développeur Full Stack,15,Ingénieur,Python Django,18000
HP Maroc,Data Scientist / IA,10,Master,TensorFlow,14000
PWC Digital Maroc,Data Scientist / IA,12,Ingénieur,TensorFlow,26000
KPMG Technology Maroc,Business Intelligence,14,Master,Power BI,15000
Microsoft Maroc,Développeur Full Stack,6,Bac+3,Angular,14000
Accenture Maroc,Cloud Engineer,9,Bac+3,Azure,13000
Tata Consultancy Services Maroc,Ingénieur Réseau,14,Ingénieur,SD-WAN,14000
EY Digital Maroc,Ingénieur Cybersécurité,0,Master,Pentest,15000
Oracle Maroc,Développeur Mobile,2,Ingénieur,Xamarin,16000
Atos Maroc,Développeur Full Stack,10,Ingénieur,Java Spring,17000
HP Maroc,Chef de Projet IT,4,Bac+3,PMI,8000
IBM Maroc,Cloud Engineer,3,Ingénieur,Kubernetes,18000
Oracle Maroc,Développeur Mobile,5,Bac+3,Flutter,11000
HP Maroc,Architecte Solutions,15,Ingénieur,Cloud Architecture,18000
Atos Maroc,Développeur Full Stack,7,Ingénieur,Vue.js,17000
HP Maroc,Développeur Mobile,1,Master,Xamarin,10000
HP Maroc,Architecte Solutions,13,Master,System Design,16000
Accenture Maroc,Ingénieur Réseau,1,Bac+2,Juniper,6000
Oracle Maroc,Data Scientist / IA,1,Bac+3,Python,13000
Lenovo Maroc,Cloud Engineer,1,Bac+3,Azure,7000
SAP Maroc,Cloud Engineer,5,Master,Terraform,18000
CGI Maroc,Business Intelligence,7,Ingénieur,Oracle BI,14000
Huawei Maroc,Ingénieur Cybersécurité,12,Bac+3,Firewall,11000
Accenture Maroc,Cloud Engineer,5,Master,Azure,16000
Lenovo Maroc,Cloud Engineer,7,Ingénieur,OpenStack,13000
Oracle Maroc,Ingénieur Réseau,1,Bac+2,SD-WAN,6000
CGI Maroc,Ingénieur Réseau,7,Doctorat,Palo Alto,13000
Deloitte Digital Maroc,Cloud Engineer,10,Bac+3,AWS,14000
IBM Maroc,Business Intelligence,14,Master,SQL Server,21000
CGI Maroc,Chef de Projet IT,10,Ingénieur,Prince2,14000
Orange Business Services Maroc,Business Intelligence,8,Ingénieur,Talend,12000
Capgemini Maroc,Ingénieur Cybersécurité,3,Ingénieur,CISSP,17000
Tata Consultancy Services Maroc,Architecte Solutions,14,Bac+3,SOA,9000
Orange Business Services Maroc,Business Intelligence,8,Ingénieur,Tableau,14000
Microsoft Maroc,Business Intelligence,2,Master,Oracle BI,16000
Orange Business Services Maroc,Architecte Solutions,3,Ingénieur,Enterprise Architecture,15000
IBM Maroc,Architecte Solutions,9,Ingénieur,Cloud Architecture,26000
Orange Business Services Maroc,Cloud Engineer,1,Ingénieur,AWS,11000
Huawei Maroc,Chef de Projet IT,6,Ingénieur,Scrum,13000
Microsoft Maroc,Ingénieur Cybersécurité,1,Master,Security+,19000
Dell Technologies Maroc,Ingénieur Cybersécurité,1,Ingénieur,CISSP,15000
Huawei Maroc,Ingénieur Réseau,10,Master,Palo Alto,10000
SAP Maroc,Data Scientist / IA,6,Bac+3,Python,15000
Deloitte Digital Maroc,Ingénieur Réseau,8,Bac+3,CCNA,10000
Capgemini Maroc,Architecte Solutions,8,Bac+3,UML,12000
Orange Business Services Maroc,Architecte Solutions,6,Doctorat,System Design,17000
Tata Consultancy Services Maroc,Business Intelligence,2,Ingénieur,Talend,9000
CGI Maroc,Business Intelligence,4,Doctorat,Talend,13000
IBM Maroc,Développeur Full Stack,7,Ingénieur,Angular,19000
IBM Maroc,Chef de Projet IT,1,Bac+3,PMI,11000
Deloitte Digital Maroc,Chef de Projet IT,5,Bac+2,Prince2,8000
Atos Maroc,Développeur Full Stack,8,Doctorat,Python Django,17000
Lenovo Maroc,DevOps Engineer,9,Ingénieur,AWS,13000
Huawei Maroc,Ingénieur Réseau,14,Ingénieur,CCNA,14000
Oracle Maroc,Chef de Projet IT,13,Ingénieur,Scrum,25000
Accenture Maroc,Cloud Engineer,13,Doctorat,OpenStack,24000
Lenovo Maroc,Data Scientist / IA,5,Bac+3,TensorFlow,10000
Accenture Maroc,Data Scientist / IA,4,Bac+3,PyTorch,14000
Cisco Maroc,DevOps Engineer,10,Ingénieur,Ansible,16000
Oracle Maroc,Chef de Projet IT,9,Bac+3,Prince2,13000
HP Maroc,Architecte Solutions,10,Bac+3,Cloud Architecture,10000
Orange Business Services Maroc,Chef de Projet IT,15,Ingénieur,Scrum,15000
SAP Maroc,Data Scientist / IA,2,Master,TensorFlow,20000
IBM Maroc,Architecte Solutions,6,Doctorat,UML,26000
SAP Maroc,Développeur Full Stack,5,Ingénieur,Node.js,20000
CGI Maroc,Ingénieur Cybersécurité,5,Bac+3,Security+,10000
Lenovo Maroc,Développeur Mobile,2,Ingénieur,Kotlin,11000
Oracle Maroc,Architecte Solutions,0,Master,Cloud Architecture,17000
IBM Maroc,Cloud Engineer,15,Ingénieur,Azure,27000
Orange Business Services Maroc,Développeur Full Stack,15,Master,Python Django,13000
HP Maroc,Développeur Full Stack,14,Doctorat,Python Django,18000
Microsoft Maroc,Développeur Full Stack,6,Ingénieur,Node.js,27000
Orange Business Services Maroc,Business Intelligence,2,Bac+3,Tableau,7000
KPMG Technology Maroc,Business Intelligence,2,Ingénieur,Oracle BI,15000
Sopra Steria Maroc,Cloud Engineer,5,Master,OpenStack,14000
SAP Maroc,Ingénieur Cybersécurité,1,Master,Security+,17000
EY Digital Maroc,Data Scientist / IA,8,Master,Scikit-learn,19000
Microsoft Maroc,Développeur Full Stack,3,Bac+3,React,12000
PWC Digital Maroc,Développeur Mobile,5,Ingénieur,Kotlin,14000
IBM Maroc,DevOps Engineer,6,Ingénieur,Kubernetes,22000
Orange Business Services Maroc,Data Scientist / IA,10,Master,Spark,15000
CGI Maroc,Développeur Full Stack,0,Bac+2,Python Django,6000
PWC Digital Maroc,DevOps Engineer,3,Master,Ansible,13000
EY Digital Maroc,Ingénieur Cybersécurité,7,Master,CISSP,16000
Accenture Maroc,Chef de Projet IT,0,Bac+3,Kanban,9000
PWC Digital Maroc,Ingénieur Réseau,0,Ingénieur,Juniper,14000
IBM Maroc,Ingénieur Cybersécurité,13,Master,SIEM,23000
Atos Maroc,Data Scientist / IA,1,Master,Python,13000
Sopra Steria Maroc,Data Scientist / IA,15,Master,R,18000
Capgemini Maroc,DevOps Engineer,2,Master,GitLab CI/CD,12000
Deloitte Digital Maroc,Développeur Mobile,6,Ingénieur,Android Studio,14000
IBM Maroc,Développeur Full Stack,1,Bac+2,.NET Core,8000
Oracle Maroc,Architecte Solutions,6,Master,Enterprise Architecture,21000
Accenture Maroc,Chef de Projet IT,3,Ingénieur,Scrum,17000
Accenture Maroc,Cloud Engineer,10,Master,Azure,17000
Cisco Maroc,DevOps Engineer,10,Ingénieur,AWS,18000
Microsoft Maroc,Business Intelligence,12,Doctorat,SQL Server,25000
Tata Consultancy Services Maroc,DevOps Engineer,0,Master,Ansible,9000
Accenture Maroc,Développeur Mobile,9,Doctorat,Ionic,18000
HP Maroc,Cloud Engineer,3,Doctorat,Azure,15000
IBM Maroc,Data Scientist / IA,2,Master,Tableau,19000
PWC Digital Maroc,Développeur Mobile,9,Ingénieur,Android Studio,15000
Sopra Steria Maroc,Ingénieur Cybersécurité,3,Bac+3,ISO 27001,10000
KPMG Technology Maroc,Chef de Projet IT,7,Ingénieur,Scrum,17000
PWC Digital Maroc,Ingénieur Cybersécurité,8,Master,Pentest,17000
CGI Maroc,DevOps Engineer,9,Ingénieur,Kubernetes,16000
CGI Maroc,Ingénieur Réseau,6,Doctorat,Fortinet,15000
HP Maroc,Cloud Engineer,8,Doctorat,OpenStack,18000
Accenture Maroc,Data Scientist / IA,1,Ingénieur,TensorFlow,20000
Accenture Maroc,Cloud Engineer,7,Ingénieur,AWS,23000
Huawei Maroc,Chef de Projet IT,14,Ingénieur,PMI,17000
KPMG Technology Maroc,Data Scientist / IA,5,Ingénieur,Spark,18000
Huawei Maroc,Chef de Projet IT,8,Doctorat,Prince2,17000
PWC Digital Maroc,Architecte Solutions,3,Doctorat,Enterprise Architecture,22000
PWC Digital Maroc,DevOps Engineer,2,Ingénieur,Terraform,16000
Sopra Steria Maroc,Business Intelligence,5,Master,Power BI,11000
HP Maroc,Chef de Projet IT,11,Master,MS Project,12000
Dell Technologies Maroc,Développeur Full Stack,10,Master,Vue.js,16000
PWC Digital Maroc,Développeur Full Stack,15,Bac+3,React,14000
Atos Maroc,Cloud Engineer,4,Master,Docker,12000
CGI Maroc,Développeur Full Stack,3,Bac+3,Java Spring,8000
Oracle Maroc,Business Intelligence,3,Bac+2,Talend,8000
HP Maroc,Ingénieur Réseau,6,Master,Juniper,10000
Cisco Maroc,Data Scientist / IA,15,Master,PyTorch,20000
Capgemini Maroc,Développeur Mobile,13,Master,Flutter,13000
Oracle Maroc,Business Intelligence,6,Doctorat,Tableau,22000
Deloitte Digital Maroc,Cloud Engineer,3,Master,Terraform,16000
Oracle Maroc,Développeur Mobile,9,Ingénieur,Xamarin,21000
Orange Business Services Maroc,Ingénieur Cybersécurité,0,Ingénieur,CISSP,12000
PWC Digital Maroc,Développeur Full Stack,8,Bac+3,.NET Core,11000
Tata Consultancy Services Maroc,Développeur Full Stack,6,Master,React,11000
HP Maroc,Architecte Solutions,1,Bac+3,SOA,7000
Cisco Maroc,DevOps Engineer,9,Master,Ansible,15000
IBM Maroc,Chef de Projet IT,8,Doctorat,PMI,24000
Oracle Maroc,DevOps Engineer,3,Bac+2,Kubernetes,9000
Huawei Maroc,Développeur Full Stack,8,Doctorat,Node.js,16000
SAP Maroc,DevOps Engineer,3,Master,Terraform,16000
Sopra Steria Maroc,Cloud Engineer,2,Bac+3,Google Cloud,9000
HP Maroc,Développeur Mobile,11,Bac+3,React Native,8000
Atos Maroc,DevOps Engineer,2,Ingénieur,Docker,14000
Cisco Maroc,Ingénieur Réseau,6,Master,Palo Alto,9000
KPMG Technology Maroc,Ingénieur Cybersécurité,2,Master,SIEM,15000
CGI Maroc,DevOps Engineer,8,Ingénieur,Docker,18000
Oracle Maroc,Architecte Solutions,1,Bac+3,System Design,13000
Accenture Maroc,Chef de Projet IT,9,Ingénieur,Kanban,19000
Oracle Maroc,Développeur Full Stack,3,Master,Vue.js,19000
KPMG Technology Maroc,Développeur Mobile,12,Ingénieur,React Native,19000
Accenture Maroc,Ingénieur Réseau,4,Bac+3,CCNA,9000
Oracle Maroc,Cloud Engineer,0,Ingénieur,Docker,18000
Orange Business Services Maroc,Ingénieur Réseau,10,Doctorat,Juniper,13000
PWC Digital Maroc,Business Intelligence,7,Ingénieur,QlikView,16000
Capgemini Maroc,Ingénieur Cybersécurité,4,Ingénieur,ISO 27001,18000
PWC Digital Maroc,Chef de Projet IT,1,Bac+3,JIRA,9000
Microsoft Maroc,DevOps Engineer,1,Bac+3,Ansible,11000
Cisco Maroc,Ingénieur Cybersécurité,0,Master,CISSP,14000
Dell Technologies Maroc,Chef de Projet IT,2,Master,JIRA,11000
KPMG Technology Maroc,Cloud Engineer,9,Doctorat,Google Cloud,21000
Sopra Steria Maroc,Développeur Full Stack,11,Ingénieur,Vue.js,17000
Capgemini Maroc,Chef de Projet IT,10,Master,Prince2,16000
Cisco Maroc,Architecte Solutions,7,Master,Cloud Architecture,14000
Orange Business Services Maroc,Ingénieur Cybersécurité,7,Master,Firewall,12000
Microsoft Maroc,Ingénieur Réseau,1,Bac+3,CCNP,11000
Microsoft Maroc,Cloud Engineer,1,Ingénieur,Terraform,21000
Tata Consultancy Services Maroc,DevOps Engineer,0,Bac+3,GitLab CI/CD,7000
Orange Business Services Maroc,Data Scientist / IA,8,Ingénieur,Tableau,15000
IBM Maroc,Business Intelligence,4,Ingénieur,Talend,19000
Sopra Steria Maroc,Ingénieur Cybersécurité,0,Bac+3,Pentest,9000
Capgemini Maroc,Data Scientist / IA,6,Doctorat,Python,20000
Deloitte Digital Maroc,Architecte Solutions,11,Master,System Design,17000
Sopra Steria Maroc,Chef de Projet IT,10,Ingénieur,Agile,18000
IBM Maroc,Chef de Projet IT,3,Bac+3,Scrum,10000
Huawei Maroc,Business Intelligence,2,Bac+3,SAP BO,6000
IBM Maroc,Ingénieur Réseau,0,Bac+3,CCNA,8000
Tata Consultancy Services Maroc,Développeur Mobile,0,Ingénieur,Android Studio,8000
Huawei Maroc,Chef de Projet IT,1,Master,Scrum,11000
SAP Maroc,Architecte Solutions,12,Doctorat,Cloud Architecture,32000
CGI Maroc,Cloud Engineer,13,Ingénieur,Terraform,17000
Oracle Maroc,Ingénieur Cybersécurité,3,Master,ISO 27001,20000
Deloitte Digital Maroc,Data Scientist / IA,3,Doctorat,PyTorch,20000
Atos Maroc,Ingénieur Cybersécurité,3,Master,Firewall,13000
Huawei Maroc,Architecte Solutions,9,Master,Enterprise Architecture,15000
Orange Business Services Maroc,Business Intelligence,7,Ingénieur,Talend,11000
Accenture Maroc,Architecte Solutions,10,Ingénieur,Enterprise Architecture,25000
HP Maroc,Data Scientist / IA,0,Bac+3,Tableau,7000
KPMG Technology Maroc,Ingénieur Réseau,14,Bac+3,CCNA,10000
Oracle Maroc,Cloud Engineer,7,Master,Terraform,18000
Oracle Maroc,Data Scientist / IA,14,Master,Python,27000
Huawei Maroc,Développeur Mobile,0,Master,React Native,8000
Tata Consultancy Services Maroc,Ingénieur Cybersécurité,2,Bac+2,CISSP,5000
EY Digital Maroc,Business Intelligence,1,Bac+3,Tableau,8000
SAP Maroc,Ingénieur Réseau,6,Ingénieur,Palo Alto,18000
SAP Maroc,Data Scientist / IA,0,Master,TensorFlow,18000
Capgemini Maroc,Business Intelligence,13,Doctorat,SQL Server,19000
Cisco Maroc,Architecte Solutions,5,Master,API,13000
Accenture Maroc,Chef de Projet IT,5,Ingénieur,MS Project,19000
HP Maroc,Business Intelligence,0,Ingénieur,SQL Server,11000
Orange Business Services Maroc,Business Intelligence,2,Master,Tableau,8000
IBM Maroc,Data Scientist / IA,6,Bac+3,PyTorch,13000
IBM Maroc,Data Scientist / IA,0,Ingénieur,PyTorch,19000
Dell Technologies Maroc,Développeur Full Stack,0,Ingénieur,Java Spring,12000
Deloitte Digital Maroc,Développeur Full Stack,0,Ingénieur,React,18000
SAP Maroc,Business Intelligence,6,Ingénieur,SAP BO,18000
Oracle Maroc,Data Scientist / IA,0,Master,Tableau,17000
EY Digital Maroc,Business Intelligence,4,Master,Tableau,13000
Accenture Maroc,Data Scientist / IA,14,Doctorat,Tableau,31000
Oracle Maroc,Ingénieur Cybersécurité,15,Ingénieur,CISSP,29000
CGI Maroc,Architecte Solutions,12,Bac+3,Enterprise Architecture,12000
Orange Business Services Maroc,DevOps Engineer,0,Ingénieur,Terraform,12000
Deloitte Digital Maroc,Data Scientist / IA,11,Ingénieur,PyTorch,25000
Accenture Maroc,Ingénieur Réseau,2,Bac+3,CCNA,7000
Cisco Maroc,Architecte Solutions,4,Bac+3,Enterprise Architecture,10000
Cisco Maroc,Ingénieur Réseau,15,Ingénieur,Juniper,17000
EY Digital Maroc,Ingénieur Réseau,2,Bac+3,SD-WAN,8000
Oracle Maroc,Ingénieur Réseau,6,Master,Palo Alto,14000
Lenovo Maroc,Cloud Engineer,13,Bac+3,Docker,9000
HP Maroc,Chef de Projet IT,0,Bac+3,Scrum,7000
Accenture Maroc,DevOps Engineer,7,Ingénieur,Jenkins,20000
KPMG Technology Maroc,Ingénieur Réseau,1,Master,CCNP,11000
Dell Technologies Maroc,Business Intelligence,2,Bac+3,Oracle BI,7000
Deloitte Digital Maroc,Data Scientist / IA,0,Master,Scikit-learn,14000
Dell Technologies Maroc,Développeur Mobile,7,Bac+3,Ionic,8000
Huawei Maroc,Ingénieur Réseau,1,Ingénieur,SD-WAN,10000
Cisco Maroc,Cloud Engineer,8,Master,Google Cloud,14000
SAP Maroc,Ingénieur Réseau,13,Master,CCNA,15000
Sopra Steria Maroc,Data Scientist / IA,12,Master,Tableau,17000
Dell Technologies Maroc,Développeur Mobile,15,Ingénieur,Xamarin,18000
Huawei Maroc,Développeur Mobile,13,Master,React Native,12000
Tata Consultancy Services Maroc,DevOps Engineer,1,Bac+3,AWS,7000
Atos Maroc,Développeur Full Stack,3,Ingénieur,Node.js,15000
IBM Maroc,Business Intelligence,0,Ingénieur,Talend,17000
Lenovo Maroc,Architecte Solutions,1,Master,API,11000
KPMG Technology Maroc,Ingénieur Cybersécurité,8,Master,CISSP,20000
EY Digital Maroc,Développeur Full Stack,6,Bac+3,Vue.js,10000
IBM Maroc,Ingénieur Réseau,9,Ingénieur,CCNA,17000
KPMG Technology Maroc,Business Intelligence,6,Master,Tableau,13000
CGI Maroc,Ingénieur Cybersécurité,5,Master,Firewall,13000
Huawei Maroc,Cloud Engineer,8,Doctorat,Terraform,19000
Accenture Maroc,Développeur Full Stack,9,Master,Python Django,19000
KPMG Technology Maroc,Data Scientist / IA,10,Ingénieur,Python,24000
Huawei Maroc,DevOps Engineer,3,Master,Docker,10000
Deloitte Digital Maroc,Data Scientist / IA,7,Ingénieur,Tableau,23000
Orange Business Services Maroc,Développeur Full Stack,14,Ingénieur,Vue.js,18000
Cisco Maroc,Cloud Engineer,12,Ingénieur,AWS,21000
Huawei Maroc,Développeur Full Stack,1,Ingénieur,.NET Core,14000
Tata Consultancy Services Maroc,Développeur Mobile,3,Bac+3,Kotlin,5000
Orange Business Services Maroc,Développeur Full Stack,13,Ingénieur,Python Django,16000
Microsoft Maroc,Business Intelligence,13,Master,Tableau,18000
Oracle Maroc,Chef de Projet IT,3,Ingénieur,Prince2,22000
KPMG Technology Maroc,Ingénieur Cybersécurité,14,Bac+3,Security+,14000
EY Digital Maroc,Ingénieur Cybersécurité,0,Master,Security+,15000
Oracle Maroc,Ingénieur Réseau,9,Master,Palo Alto,17000
SAP Maroc,DevOps Engineer,5,Ingénieur,AWS,22000
Cisco Maroc,Développeur Full Stack,1,Master,Python Django,13000
IBM Maroc,Data Scientist / IA,4,Bac+3,PyTorch,13000
Microsoft Maroc,Data Scientist / IA,2,Ingénieur,TensorFlow,24000
Deloitte Digital Maroc,Développeur Full Stack,7,Doctorat,React,19000
Huawei Maroc,Business Intelligence,13,Doctorat,Talend,15000
SAP Maroc,Développeur Full Stack,13,Ingénieur,Java Spring,27000
IBM Maroc,Développeur Mobile,15,Doctorat,Android Studio,24000
Microsoft Maroc,Chef de Projet IT,8,Master,Agile,20000
PWC Digital Maroc,Chef de Projet IT,8,Doctorat,Agile,22000
Capgemini Maroc,Développeur Mobile,0,Master,Flutter,9000
Deloitte Digital Maroc,DevOps Engineer,15,Ingénieur,Ansible,22000
Deloitte Digital Maroc,Business Intelligence,7,Doctorat,QlikView,17000
Cisco Maroc,Business Intelligence,2,Bac+3,Tableau,8000
Deloitte Digital Maroc,Business Intelligence,12,Ingénieur,QlikView,20000
Tata Consultancy Services Maroc,Data Scientist / IA,9,Master,PyTorch,13000
Accenture Maroc,Ingénieur Réseau,0,Ingénieur,CCNA,13000
SAP Maroc,Architecte Solutions,13,Doctorat,UML,28000
Capgemini Maroc,Data Scientist / IA,2,Bac+3,TensorFlow,10000
Accenture Maroc,DevOps Engineer,9,Master,Jenkins,16000
Atos Maroc,Développeur Full Stack,8,Ingénieur,.NET Core,15000
HP Maroc,Chef de Projet IT,2,Master,PMI,10000
KPMG Technology Maroc,Cloud Engineer,10,Bac+3,Docker,12000
Huawei Maroc,Développeur Mobile,11,Master,Ionic,11000
Sopra Steria Maroc,Cloud Engineer,4,Master,Kubernetes,13000
Orange Business Services Maroc,DevOps Engineer,6,Bac+3,AWS,9000
Capgemini Maroc,Ingénieur Réseau,3,Bac+2,Fortinet,6000
Sopra Steria Maroc,Développeur Mobile,8,Ingénieur,Ionic,15000
SAP Maroc,Cloud Engineer,2,Bac+3,Kubernetes,12000
Deloitte Digital Maroc,Architecte Solutions,2,Master,System Design,15000
IBM Maroc,Développeur Mobile,14,Bac+3,React Native,13000
Oracle Maroc,Data Scientist / IA,15,Master,Python,24000
CGI Maroc,Chef de Projet IT,14,Master,Kanban,13000
Sopra Steria Maroc,Cloud Engineer,2,Master,Terraform,14000
